Poco;Tipo;LDA;Class_etapa;Duracao;UO;Campo;Tipo_sonda;Sonda;Data_fim_etapa
7-MRL-51-RJS;Through-Tubing;793;Etapa Única;43,9583;UO-BC;MARLIM;DP-LWO;NS-52;10/14/2020 2:00:00 PM
7-MRL-56D-RJS;Superconvencional;671;Etapa Única;116,6874;UO-BC;MARLIM;DP-GEN;SS-87;10/28/2015 8:30:00 PM
7-MRL-59-RJS;Convencional com BOP;956;Etapa Única;62,6455;UO-BC;MARLIM;DP-GEN;NS-17;1/9/2015 12:00:00 AM
7-MRL-60D-RJS;Through-Tubing;951;Etapa Única;34,5414;UO-BC;MARLIM;DP-GEN;SS-55;5/18/2015 8:00:00 AM
7-MRL-68D-RJS;Through-Tubing;957;Etapa Única;31,2079;UO-BC;MARLIM;DP-LWO;NS-51;7/13/2017 11:00:00 AM
7-MRL-78D-RJS;Convencional com BOP;972;Etapa Única;42,1248;UO-BC;MARLIM;DP-GEN;SS-55;4/13/2015 7:00:00 PM
7-MRL-85D-RJS;Convencional com BOP;933;Faseado Etapa 1;8,4999;UO-BC;MARLIM;DP-GEN;SS-83;3/8/2021 3:30:00 PM
7-MRL-86D-RJS;Convencional com BOP;928;Faseado Etapa 1;48,0419;UO-BC;MARLIM;DP-GEN;SS-83;8/29/2021 1:00:00 PM
7-MRL-87D-RJS;Convencional com BOP;930;Faseado Etapa 1;14,8959;UO-BC;MARLIM;DP-GEN;SS-83;2/18/2021 1:30:00 AM
7-MRL-88H-RJS;Convencional com BOP;750;Faseado Etapa 1;15,75;UO-BC;MARLIM;DP-LWO;NS-52;11/28/2020 12:00:00 AM
7-MRL-89D-RJS;Convencional com BOP;723;Faseado Etapa 1;36,1041;UO-BC;MARLIM;DP-LWO;NS-52;3/16/2020 4:30:00 AM
7-MRL-8D-RJS;Convencional RCMA;674;Faseado Completo;40,8127;UO-BC;MARLIM;DP-GEN;SS-70;10/6/2020 2:00:00 PM
7-MRL-8D-RJS;Convencional RCMA;674;Faseado Completo;13,729;UO-BC;MARLIM;DP-GEN;SS-73;2/20/2021 9:30:00 PM
7-MRL-91H-RJS;Convencional com BOP;773;Etapa Única;49,0622;UO-BC;MARLIM;DP-GEN;SS-57;3/9/2019 2:00:00 PM
7-MRL-9-RJS;Through-Tubing;777;Etapa Única;38,0417;UO-BC;MARLIM;DP-GEN;SS-70;1/17/2022 7:30:00 PM
7-MXL-13H-SPS;Convencional com BOP;484;Etapa Única;113,6871;UO-BS;MEXILHÃO;DP-GEN;SS-81;11/11/2021 6:00:00 PM
7-PRB-1-ESS;Through-Tubing;1275;Etapa Única;24,9374;UO-ES;PIRAMBU;DP-GEN;SS-73;10/15/2020 10:30:00 PM
7-PRM-5-SES;Through-Tubing;1681;Etapa Única;24,4166;UO-SEAL;PIRANEMA;DP-LWO;NS-51;1/24/2021 1:30:00 AM
7-PU-11-RJS;Convencional com BOP;225;Etapa Única;33,1458;UO-BC;PIRAÚNA;ANC;SS-39;8/15/2015 3:30:00 PM
7-PU-7D-RJS;Through-Tubing;285;Etapa Única;33,146;UO-BC;PIRAÚNA;ANC;SS-62;7/21/2015 10:30:00 AM
7-PU-8D-RJS;Convencional com BOP;287;Etapa Única;29,3332;UO-BC;PIRAÚNA;ANC;SS-62;8/20/2015 10:00:00 AM
7-RO-107HPA-RJS;Convencional com BOP;1820;Etapa Única;84,9588;UO-ES;RONCADOR;DP-GEN;SS-79;7/31/2016 11:00:00 PM
7-RO-114HP-RJS;Convencional com BOP;1784;Etapa Única;95,2073;UO-ES;RONCADOR;DP-GEN;SS-79;12/15/2016 2:00:00 PM
7-RO-141HP-RJS;Superconvencional;1745;Faseado Completo;16,1458;UO-ES;RONCADOR;DP-GEN;SS-79;8/29/2020 9:30:00 AM
7-RO-141HP-RJS;Superconvencional;1745;Faseado Completo;66,6245;UO-ES;RONCADOR;DP-GEN;SS-79;8/29/2020 9:30:00 AM
7-RO-142H-RJS;Convencional RCMA;1697;Etapa Única;40,1037;UO-ES;RONCADOR;DP-GEN;SS-73;1/16/2021 3:00:00 AM
7-RO-24D-RJS;Convencional com BOP;1852;Etapa Única;19,2085;UO-ES;RONCADOR;DP-GEN;SS-70;8/4/2021 10:00:00 AM
7-VD-14HP-RJS;Convencional RCMA;531;Etapa Única;46,5005;UO-BC;VOADOR;ANC;SS-45;2/23/2021 12:00:00 AM
7-VD-16HP-RJS;Through-Tubing;412;Etapa Única;41,2707;UO-BC;VOADOR;ANC;SS-45;4/5/2021 6:30:00 AM
7-VD-3HP-RJS;Superconvencional;568;Etapa Única;64,5212;UO-BC;VOADOR;ANC;P-10;6/10/2015 12:30:00 PM
7-VD-3HP-RJS;Superconvencional;568;Etapa Única;31,1251;UO-BC;VOADOR;ANC;SS-62;6/10/2015 12:30:00 PM
8-ABL-32HP-RJS;Convencional com BOP;1120;Etapa Única;42,6042;UO-ES;ALBACORA LESTE;DP-GEN;NS-23;5/27/2015 11:00:00 PM
8-ABL-32HP-RJS;Convencional com BOP;1120;Etapa Única;10,0209;UO-ES;ALBACORA LESTE;DP-GEN;SS-79;5/27/2015 11:00:00 PM
8-ABL-32HP-RJS;Convencional com BOP;1120;Etapa Única;10,2502;UO-ES;ALBACORA LESTE;DP-GEN;SS-80;5/27/2015 11:00:00 PM
8-GLF-14HPA-ESS;Convencional com BOP;1339;Faseado Completo;20,5207;UO-ES;GOLFINHO;DP-GEN;SS-85;2/23/2018 2:30:00 AM
8-GLF-14HPA-ESS;Convencional com BOP;1339;Faseado Completo;5,4375;UO-ES;GOLFINHO;DP-LWO;NS-51;2/23/2018 2:30:00 AM
